Nombre,Modelo
Ricoh IM C2000 - Multifuncional Color Inteligente,IM C2000
Ricoh MP 301SP - Compacta B/N para Oficina,MP 301SP
Ricoh MP 2554 — Multifuncional B/N,MP 2554
Ricoh MP 2555SP — Multifuncional B/N,MP 2555SP
Ricoh MP 3055SP — Alto Volumen B/N,MP 3055SP
Ricoh MP 3054 — B/N con finisher opcional,MP 3054
Ricoh MP 4055SP — B/N Alta Produccion,MP 4055SP
Ricoh MP 4002 — B/N Compacto de Alta Velocidad,MP 4002
Ricoh Ricoh IM 430F — B/N Ultima Generacion,IM 430F
Ricoh MP C2004 — Color Compacto,MP C2004
Ricoh MP C3003 — Color 30 ppm,MP C3003
Ricoh MP C3004 — Color con ADF,MP C3004
Ricoh IMC 2500 — Color Inteligente,IMC 2500
Ricoh MP C4503 — A3 Color 45 ppm,MPC 4503
